userid,day1_cos_AI_Human,day1_cos_diary_AI,day1_cos_diary_Human,day2_cos_AI_Human,day2_cos_diary_AI,day2_cos_diary_Human,day3_cos_AI_Human,day3_cos_diary_AI,day3_cos_diary_Human,ave_cos_AI_Human,ave_cos_diary_AI,ave_cos_diary_Human
878721,0.788,0.646,0.869,0.6,0.353,0.341,0.597,0.383,0.301,0.768,0.431,0.427
94338,0.734,0.803,0.693,0.236,0.462,0.301,0.52,0.525,0.466,0.743,0.333,0.503
95866,0.645,0.75,0.804,0.355,0.36,0.389,0.502,0.552,0.494,0.733,0.368,0.516
acu9751cw,0.788,0.795,0.859,0.483,0.337,0.571,0.704,0.56,0.669,0.814,0.463,0.644
akimi381,0.653,0.781,0.616,0.449,0.375,0.393,0.588,0.562,0.623,0.683,0.405,0.591
khi1_b4aa,0.655,0.683,0.628,0.305,0.411,0.267,0.456,0.42,0.428,0.655,0.328,0.435
KoHaRu09,0.795,0.723,0.657,0.223,0.157,0.201,0.425,0.364,0.291,0.725,0.194,0.36
makimaki0519,0.639,0.738,0.777,0.43,0.331,0.36,0.615,0.54,0.543,0.718,0.374,0.566
mor2kir1500,0.593,0.778,0.804,0.387,0.482,0.39,0.494,0.592,0.606,0.725,0.42,0.564
naotok24,0.526,0.59,0.681,0.293,0.392,0.358,0.568,0.466,0.536,0.599,0.348,0.523
quartet456,0.74,0.863,0.783,0.477,0.318,0.467,0.63,0.38,0.597,0.795,0.421,0.536
rdkny933,0.56,0.716,0.732,0.344,0.394,0.483,0.489,0.548,0.584,0.669,0.407,0.54
SGƒwƒ‹ƒXƒPƒA,0.734,0.617,0.735,0.369,0.232,0.328,0.527,0.475,0.58,0.695,0.31,0.527
shigenoi,0.762,0.633,0.689,0.247,0.394,0.372,0.492,0.567,0.607,0.695,0.338,0.555
ys15_cw,0.679,0.821,0.776,0.415,0.448,0.352,0.632,0.61,0.483,0.759,0.405,0.575
Yuko_office,0.768,0.73,0.816,0.231,0.373,0.417,0.402,0.608,0.595,0.772,0.341,0.535
yume43,0.548,0.606,0.638,0.403,0.486,0.276,0.485,0.345,0.321,0.598,0.388,0.384
‚É‚á‚·‚à,0.7,0.68,0.65,0.32,0.402,0.427,0.391,0.338,0.661,0.677,0.383,0.463
5596175,0.583,0.764,0.74,0.34,0.512,0.512,0.459,0.589,0.655,0.695,0.455,0.568
1472598,0.674,0.728,0.821,0.443,0.476,0.526,0.688,0.676,0.63,0.741,0.482,0.665
4173223,0.693,0.723,0.692,0.354,0.357,0.306,0.533,0.455,0.453,0.703,0.339,0.481
5616595,0.888,0.804,0.744,0.518,0.383,0.365,0.588,0.616,0.539,0.812,0.422,0.581
115345,0.766,0.63,0.785,0.399,0.47,0.383,0.617,0.702,0.493,0.727,0.417,0.604
mo3177chi,0.769,0.653,0.555,0.554,0.396,0.317,0.603,0.528,0.463,0.659,0.422,0.531
5859850,0.712,0.631,0.699,0.308,0.355,0.298,0.55,0.572,0.49,0.681,0.321,0.537
5517900,0.57,0.744,0.79,0.315,0.436,0.541,0.591,0.58,0.739,0.701,0.431,0.637
4006340,0.615,0.82,0.76,0.377,0.526,0.423,0.585,0.603,0.614,0.732,0.442,0.601
1778742,0.819,0.668,0.757,0.388,0.351,0.443,0.584,0.537,0.657,0.748,0.394,0.593
1452004,0.804,0.808,0.818,0.406,0.526,0.46,0.506,0.561,0.54,0.81,0.464,0.536
4008717,0.67,0.783,0.761,0.345,0.406,0.408,0.475,0.639,0.455,0.738,0.387,0.523
1743130,0.673,0.736,0.714,0.256,0.492,0.359,0.478,0.688,0.548,0.707,0.369,0.571
5479130,0.701,0.74,0.81,0.207,0.509,0.242,0.464,0.576,0.38,0.75,0.319,0.473
4213579,0.666,0.814,0.695,0.249,0.603,0.459,0.467,0.783,0.676,0.725,0.437,0.642
2600289,0.847,0.691,0.769,0.599,0.616,0.332,0.786,0.774,0.384,0.769,0.515,0.648
4011894,0.715,0.685,0.594,0.563,0.386,0.372,0.679,0.54,0.656,0.665,0.441,0.625
4551146,0.781,0.821,0.747,0.496,0.58,0.521,0.687,0.756,0.706,0.783,0.532,0.716
877724,0.705,0.795,0.736,0.56,0.545,0.297,0.76,0.648,0.475,0.745,0.468,0.628
4150657,0.656,0.607,0.694,0.355,0.416,0.491,0.474,0.48,0.54,0.652,0.42,0.498
1065632,0.708,0.669,0.742,0.39,0.481,0.402,0.627,0.57,0.664,0.706,0.424,0.62
2106307,0.778,0.704,0.708,0.446,0.474,0.547,0.546,0.536,0.671,0.73,0.489,0.584
4409144,0.857,0.738,0.757,0.558,0.305,0.383,0.7,0.568,0.516,0.784,0.415,0.595
2977582,0.634,0.687,0.732,0.391,0.251,0.365,0.575,0.558,0.536,0.684,0.335,0.556
776557,0.678,0.768,0.79,0.327,0.435,0.54,0.478,0.643,0.636,0.746,0.434,0.586
4758400,0.796,0.775,0.726,0.403,0.344,0.419,0.674,0.639,0.735,0.766,0.389,0.683
4923339,0.74,0.723,0.764,0.36,0.361,0.582,0.587,0.555,0.806,0.742,0.434,0.649
2810580,0.72,0.786,0.703,0.345,0.286,0.341,0.565,0.492,0.587,0.736,0.324,0.548
Togotogo,0.764,0.806,0.792,0.429,0.205,0.551,0.546,0.367,0.509,0.787,0.395,0.474
tamachi3,0.742,0.685,0.828,0.385,0.441,0.358,0.507,0.475,0.503,0.751,0.395,0.495
