userid,day1_AI,day1_Human,day1_cos_AI_Human,day1_cos_diary_AI,day1_cos_diary_Human,day2_AI,day2_Human,day2_cos_AI_Human,day2_cos_diary_AI,day2_cos_diary_Human,day3_AI,day3_Human,day3_cos_AI_Human,day3_cos_diary_AI,day3_cos_diary_Human,AI_ave,Human_ave,ave_cos_AI_Human,ave_cos_diary_AI,ave_cos_diary_Human
4680788,57.6,17.6,0.7750658792607136,0.07059922910965413,0.05747221351380781,63.4,27.2,0.7486972044997662,0.05930985286109681,0.05193141273747966,65.4,35,0.5528289380185735,0.1825741858350554,0.13770607453181927,62.13333333333333,26.6,0.6921973405930177,0.10416108926860213,0.08236990026103558
769122,57.8,48.4,0.42433421239575275,0.031219527052723135,0.07707644173547731,67.2,52.2,0.3339652454329246,0.2070214261032435,0.2506380668861726,68.8,57.2,0.6668673806745654,0.15722544893563678,0.26754450774912797,64.6,52.6,0.4750556128344143,0.13182213403053447,0.19841967212359263
2884266,57,58.4,0.5382604488321079,0.1971615883835298,0.17479294009185659,70,57.6,0.42576576077797457,0.11537162408205442,0.24880830101138895,81.2,80.6,0.49216245063708225,0.17977132516513208,0.15848577035006547,69.4,65.53333333333333,0.48539622008238825,0.1641015125435721,0.19402900381777033
1041184,52.6,20,0.5735393346764043,0.22059205179861702,0.24615384615384617,58.2,23.4,0.49669963389939165,0.16988022138402795,0.3738658431575377,62.6,25.2,0.5316881677189251,0.19037381433213352,0.20526451245818542,57.8,22.866666666666667,0.5339757120982404,0.19361536250492617,0.2750947339231897
2658832,59.2,12.2,0.19088542889273333,0.3873894406740002,0.18426137588195152,73.4,10,0.2027495562272223,0.17442174584125766,0.14569287935358963,73,12,0.1993501201339109,0.30563794856539517,0.04042260417272216,68.53333333333333,11.4,0.19766170175128883,0.289149711693551,0.12345895313608776
4550563,56.42857142857143,27.714285714285715,0.4377137796365057,0.07259540086406278,0.1997349030061702,69.6,33.4,0.5756395979652219,0.13078042303435305,0.0367001651918931,70.8,32.8,0.7298427601514278,0.11037578675684022,0.03172705235121139,64.52941176470588,30.88235294117647,0.5810653792510518,0.10458387021841868,0.0893873735164249
4362605,53.6,57.4,0.49170755108038944,0.1857920293255863,0.2065669216588504,86.6,52.6,0.2720066506252563,0.17616433581455596,0.21809160968678584,87.8,74.4,0.38733818627847144,0.09202548020654223,0.21642775311494283,76,61.46666666666667,0.3836841293280391,0.15132728178222815,0.21369542815352635
109960,68.6,48,0.522092563786624,0.21471164896713082,0.1620083922520836,60.5,36.25,0.34736673714593747,0.1485964482544775,0.28079900079608344,71.6,47.6,0.2977325790784218,0.14606238849964537,0.28789766177288484,67.35714285714286,44.5,0.3890639600036611,0.16979016190708457,0.24356835160701729
5057931,59,5,0.0,0.31384474368310245,0.0,0,0,0,0,0,0,0,0,0,0,59,5,0.0,0.31384474368310245,0.0
3989245,49.6,50.2,0.5458155346042222,0.11376739592319657,0.16959973284696775,78.8,59.4,0.47477953834489817,0.18880991747862308,0.28110375648560293,57.2,27.3,0.5671755720605982,0.2924691514824311,0.3053665371591487,60.7,41.05,0.5292568816699061,0.19834882162808357,0.2520233421639064
4999612,59.4,44.8,0.6692861921473691,0.3987395469268077,0.5062084229756643,72.4,12.4,0.19444444444444448,0.20943737313812533,0.036423890980543536,61.4,13.2,0.4666282626286914,0.2948762901085055,0.17160161824591105,64.4,23.466666666666665,0.44345296640683496,0.3010177367244795,0.2380779774007063
2799811,0,0,0,0,0,58.6,38.4,0.3400495148142979,0.20323471117426511,0.18405048238781999,70.6,13.4,0.40407528526029907,0.17234313351252373,0.08904382398008727,64.6,25.9,0.3720624000372985,0.18778892234339442,0.13654715318395363
3982463,53.2,47.2,0.5630501223808689,0.46672629171794927,0.47367139713386974,66.83333333333333,44.666666666666664,0.4957138317579687,0.3113948788185337,0.389119787095626,78.4,54.8,0.5024897752542877,0.1631645251463277,0.2815027423394164,66.1875,48.625,0.5204179097977084,0.3137618985609369,0.38143130885630405
5612737,64.83333333333333,21.833333333333332,0.4511538795232172,0.21578719782990552,0.05124649916516394,66,51.8,0.4487801262254327,0.16073265621051241,0.10416834811664161,69.2,25.6,0.5002975305232069,0.14520834946237435,0.08093341918275389,66.5625,32.375,0.46674384542395225,0.17390940116759743,0.07878275548818647
1641297,71.2,70.6,0.5278926357893573,0.09897041542034907,0.16343011261515342,70.8,44.4,0.34434742105767197,0.11299384534766499,0.22734465950510138,58.8,44.2,0.3792363705119818,0.06829621136213555,0.16007890633235386,66.93333333333334,53.06666666666667,0.41715880911967035,0.09342015737671654,0.1836178928175362
5134695,60.2,38.6,0.6096587970309711,0.22237426652290757,0.29752320132224064,82.2,64,0.39334347858350227,0.20417688367622505,0.17659435724368228,66.4,42.4,0.5865557254410011,0.06427569120552777,0.2370190430456213,69.6,48.333333333333336,0.5298526670184915,0.1636089471348868,0.23704553387051475
5024777,67,32,0.30471264207230253,0.15930789669364834,0.10797236261230417,68.6,46.6,0.2589043525093582,0.22306219940452576,0.17765545810365613,62.2,43.2,0.45289764745444133,0.1018506908095905,0.18497418850836386,65.93333333333334,40.6,0.338838214012034,0.16140692896925488,0.15686733640810804
4175095,62.2,51.6,0.3499313519498656,0.05624282729990439,0.09596246838854215,69,60.2,0.4012671500017141,0.13796931903479068,0.2700612460330131,73.2,44.8,0.28237248320100694,0.1873509807936254,0.20361032040438173,68.13333333333334,52.2,0.34452366171752885,0.1271877090427735,0.18987801160864567
3551128,52.8,45,0.5407703407829594,0.11042815941398954,0.23016357946959456,78,31.8,0.3930429475524138,0.18047621996884183,0.12463371463099157,64,47.6,0.538867336988291,0.0617643019283821,0.1509521478998065,64.93333333333334,41.46666666666667,0.49089354177455474,0.11755622710373782,0.16858314733346422
5012138,49.6,23.2,0.7661738953012663,0.06947580551096486,0.06519397990076167,60.6,19.8,0.4843098022505682,0.09641535211752121,0.08531907675873371,65.6,24,0.5213601623400491,0.09166984970282113,0.10786387432600122,58.6,22.333333333333332,0.5906146199639613,0.08585366911043574,0.0861256436618322
275137,0,0,0,0,0,73.28571428571429,16.714285714285715,0.38291101792946036,0.3211267784975754,0.18320702719823495,74.4,27.2,0.15678574081108188,0.2455523903490887,0.1393044244472501,73.75,21.083333333333332,0.2698483793702711,0.28333958442333207,0.16125572582274253
3045407,75.6,15.4,0.0943975163291329,0.1310874896069594,0.0657793514480272,74.6,13,0.32141736147612315,0.11507182723729045,0.0,72.4,16.6,0.19037229509110573,0.11123642567390268,0.11218750984311233,74.2,15,0.20206239096545392,0.11913191417271751,0.05932228709704651
603644,48.8,15.6,0.4436782547080569,0.10811777516970883,0.1340267991778593,63,17.8,0.40915854419248576,0.1046034260944654,0.10956642697819578,71.6,25.8,0.3821434990238013,0.04094251838716119,0.10044292546128848,61.13333333333333,19.733333333333334,0.41166009930811465,0.08455457321711181,0.1146787172057812
3836202,42.6,23.6,0.49941030761413957,0.23871345935609672,0.40572301907618036,69,35.2,0.43405736614121565,0.18766297265136733,0.21617300763686761,55,37.8,0.469743163014841,0.17704978237719574,0.2926109588129946,55.53333333333333,32.2,0.4677369455900654,0.20114207146155327,0.30483566184201416
2511924,60,44,0.3939835081508306,0.21806453118663477,0.2652122547396756,74.2,51,0.44280744277004774,0.19587214447302556,0.1662394831909728,63.4,44.6,0.5392750782883379,0.10246729169541506,0.1398181799280181,65.86666666666666,46.53333333333333,0.4586886764030721,0.17213465578502513,0.1904233059528888
1117797,63.4,16.4,0.2597943666588219,0.09791868147508001,0.053300179088902604,57.4,23.8,0.23231373170253147,0.08934130258980472,0.06184633699941169,56.6,25.6,0.35445877847928337,0.03391535961096886,0.09767547513254082,59.13333333333333,21.933333333333334,0.2821889589468789,0.07372511455861785,0.07094066374028504
1822057,56.4,37.2,0.7096057391332833,0.2886751345948129,0.25724787771376323,56.2,55.2,0.5846840329772605,0.32066911009815696,0.3855430401033698,67,69.8,0.5293155269909456,0.23972026504057728,0.29172998299578906,59.86666666666667,54.06666666666667,0.6078684330338298,0.2830215032445157,0.3115069669376407
5704605,47.6,26.8,0.44055195097215993,0.11889544000696688,0.09189406676625025,46,21,0.3401946044500498,0.15493143833976714,0.3009025224924644,58.6,19,0.4452936263957641,0.07906682547518067,0.16821577756312223,50.733333333333334,22.266666666666666,0.40868006060599127,0.11763123460730489,0.18700412227394564
3564821,46.6,21,0.7010887416930996,0.22375251741207272,0.2659583874167388,86.8,19.2,0.39694209301872235,0.10745269585902949,0.08924214965063203,66,17.8,0.46911946360911194,0.24386117923392633,0.3420509693919421,66.46666666666667,19.333333333333332,0.5223834327736446,0.19168879750167617,0.23241716881977095
5162881,63,34.4,0.4901894677425397,0.1644357204054259,0.08843771282817828,59.6,30.2,0.23521677633651425,0.16518024805320766,0.07802743146408704,62.6,49.8,0.4106616018714762,0.02659819058663949,0.06007570554255708,61.733333333333334,38.13333333333333,0.37868928198351004,0.11873805301509102,0.07551361661160746
3327831,45.4,39,0.4726565934366609,0.21913030351261614,0.10902461344948916,70.4,41.2,0.4462594822027169,0.164673948172022,0.21267208987410527,66,25.2,0.5427682282919859,0.23239139531072478,0.14377703093791785,60.6,35.13333333333333,0.4872281013104546,0.2053985489984543,0.15515791142050409
727067,61.4,32.2,0.5521343320923862,0.13888386569176286,0.06928995160692483,62.166666666666664,32.833333333333336,0.4935455341437256,0.2394510172989822,0.22911268641897095,56.2,44.4,0.5129071661935312,0.06451508474520003,0.06245784554128507,60.0625,36.25,0.519529010809881,0.1476166559119817,0.12028682785572695
5034632,0,0,0,0,0,0,0,0,0,0,71,3,0.0,0.22677868380553634,0.0,71,3,0.0,0.22677868380553634,0.0
2511054,61.2,48,0.4510671108178233,0.26567808691298717,0.2709395499006642,87.6,46.8,0.49398566928719523,0.14812751282207637,0.19379376908021476,62.6,45,0.2499276934185888,0.168855383587465,0.18980542811581963,70.46666666666667,46.6,0.3983268245078691,0.19422032777417617,0.2181795823655662
3985102,55,61.2,0.4402221885941396,0.0355667331048007,0.08648775001288211,67.6,52,0.4264192316982558,0.1737085420919784,0.09898253866177398,61.6,37.4,0.4884464560390223,0.15419418901208326,0.1758746783076453,61.4,50.2,0.45169595877713925,0.12115648806962079,0.1204483223274338
2268853,55,23.2,0.5160468465421401,0.2839682236659788,0.1324738654450777,66.2,35.4,0.5263258793034394,0.27603802736462824,0.18288938176123065,88,39.4,0.23132597278649608,0.3328424764295891,0.15858694225334732,69.73333333333333,32.666666666666664,0.4245662328773585,0.297616242486732,0.15798339648655188
2503650,53.6,21.6,0.6009942011789684,0.08274358849944388,0.030289126640769135,62,26.4,0.4868338201673969,0.1793921205842551,0.07306215362152246,70.6,33.8,0.2964771652595376,0.12193743039679893,0.2376020528906055,62.06666666666667,27.266666666666666,0.4614350622019676,0.12802437982683262,0.11365111105096569
4495877,54.2,39.4,0.6030767597845671,0.19599068961468294,0.2570872483645304,70,42.4,0.5882815217304753,0.33091431650802955,0.2811680978849934,57.6,34,0.48989794855663554,0.11349071817863014,0.18532956671976725,60.6,38.6,0.560418743357226,0.21346524143378087,0.2411949709897637
707767,52.8,22.6,0.5547001962252291,0.2261837145813256,0.12938490557562543,67.6,28,0.6121460921524146,0.2567480829815484,0.19001127888703373,66,30.8,0.38924947208076155,0.20468257681112872,0.21462818807668893,62.13333333333333,27.133333333333333,0.5186985868194685,0.2292047914580009,0.1780081241797827
2933157,56.8,51,0.2738095238095239,0.22227711223719354,0.13336626734231613,68.8,39.6,0.43499242764671014,0.13643552151904473,0.23608089880890895,68.4,36.6,0.22360679774997896,0.1259704116089924,0.3683486815148235,64.66666666666667,42.4,0.31080291640207103,0.16156101512174356,0.2459319492220162
3266322,59.4,39.4,0.3511902649673557,0.04910937444032578,0.0,70.2,30.6,0.5138199967021418,0.06559738885477369,0.012563964204311858,82.6,53.6,0.5637246911950432,0.13970499065215994,0.16577473503335916,70.73333333333333,41.2,0.47624498428818024,0.0848039179824198,0.05944623307922367
5780152,69.4,38.4,0.36913583036771336,0.11785113019775793,0.04067819981796424,62.3,43,0.6793762666419308,0.13578304045044187,0.15880159976048625,75.6,53.4,0.49189255854109964,0.18716502586764353,0.14910332640840876,67.4,44.45,0.5134682185169146,0.14693306550528112,0.11619437532895308
2848289,56.25,45,0.5371352022540758,0.11756482384785134,0.04983588104637915,57.8,26.4,0.345547370232544,0.24062092038402438,0.33793316721410416,55,27,0.6038596398555418,0.10470869334204254,0.10981940405746922,56.357142857142854,31.928571428571427,0.4955140707807206,0.15429814585797275,0.16586281743931752
1147884,77.4,62.6,0.5455005501394377,0.09810229431759451,0.10894095588038441,68.4,64.6,0.25807504344229193,0.19926334924652145,0.270426394389691,62.2,68.2,0.46566713233403184,0.1509311707943687,0.23209158056511286,69.33333333333333,65.13333333333334,0.42308090863858716,0.14943227145282822,0.20381964361172944
5231896,63,43.8,0.26328014785000425,0.2187386973973532,0.25272513219191517,82.6,53.2,0.3375947656162162,0.21081851067789195,0.35899603551548404,76.2,59.4,0.3726643846793968,0.1470938307468986,0.31203313557551476,73.93333333333334,52.13333333333333,0.3245130993818724,0.19221701294071458,0.3079181010943047
114735,74.6,72,0.3462178716507691,0.09141904253048494,0.09312670517284832,80.2,61,0.40389075064471713,0.15927365210167438,0.16165833083337544,73,60.6,0.44579488179704646,0.10207290851110441,0.21786297461358847,75.93333333333334,64.53333333333333,0.39863450136417755,0.1175885343810879,0.15754933687327075
2331402,74.4,30.8,0.2677042411256415,0.1398211565981423,0.22594672044239117,59.8,38.6,0.3010702158198337,0.13758347091687304,0.39510487499930086,67.75,40.25,0.2697182599595592,0.15614202892843118,0.3935060171371985,67.28571428571429,36.285714285714285,0.27949757230167815,0.1445155521478155,0.3381858708596302
